,author,date,filename,gender,nationality,title,words,modernist
177,Emerson Hough,1902,1902 the mississippi bubble.txt,m,a,The Mississippi Bubble,93703.0,n
178,Henry Rider Haggard,1903,1903 pearl-maiden.txt,m,b,Pearl-Maiden,133886.0,n
179,Edith Wharton,1903,1903 sanctuary.txt,f,a,Sanctuary,27210.0,n
180,Irving Bacheller,1903,1903 darrel of the blessed isles.txt,m,a,Darrel of the Blessed Isles,70407.0,n
181,Mrs. Humphrey Ward,1903,1903 lady rose's daughter.txt,f,b,Lady Rose’s Daughter,130140.0,n
182,George Gissing,1903,1903 the private papers of henry ryecroft.txt,m,b,The Private Papers of Henry Ryecroft,61951.0,n
183,Kate Douglas Wiggin,1903,1903 rebecca of sunnybrook farm.txt,f,a,Rebecca of Sunnybrook Farm,73749.0,n
184,Henry Seton Merriman,1903,1903 barlasch of the guard.txt,m,b,Barlasch of the Guard,75438.0,n
185,Andy Adams,1903,1903 the log of a cowboy.txt,m,a,The Log of a Cowboy,99128.0,n
186,Francis Marion Crawford,1903,1903 the heart of rome.txt,m,a,The Heart of Rome,99632.0,n
187,Lyman Frank Baum,1903,1903 the enchanted island of yew.txt,m,a,The Enchanted Island of Yew,37034.0,n
188,Jerome Kapla Jerome,1904,1904 tommy and co.txt,m,b,Tommy and Co.,55068.0,n
189,Emerson Hough,1904,1904 the law of the land.txt,m,a,The Law of the Land,88187.0,n
190,Henry Rider Haggard,1904,1904 the brethren.txt,m,b,The Brethren,128538.0,n
191,Henry Rider Haggard,1904,1904 stella fregelius.txt,m,b,Stella Fregelius,99754.0,n
192,Marie Corelli,1904,1904 god's good man.txt,f,b,God’s Good Man,212323.0,n
193,Andy Adams,1904,1904 a texas matchmaker.txt,m,a,A Texas Matchmaker,90190.0,n
194,Henry Seton Merriman,1904,1904 the last hope.txt,m,b,The Last Hope,96669.0,n
195,Ralph Connor,1904,1904 the prospector.txt,m,c,The Prospector,95711.0,n
196,Edith Nesbit,1904,1904 the phoenix and the carpet.txt,f,b,The Phoenix and the Carpet,62117.0,n
197,Irving Bacheller,1904,1904 vergilius.txt,m,a,Vergilius,41577.0,n
198,Edith Wharton,1905,1905 the house of mirth.txt,f,a,The House of Mirth,130513.0,n
199,Henry Rider Haggard,1905,1905 ayesha.txt,m,b,Ayesha,117119.0,n
200,George Gissing,1905,1905 will warburton.txt,m,b,Will Warburton,85096.0,n
201,Andy Adams,1905,1905 the outlet.txt,m,a,The Outlet,94320.0,n
202,Mrs. Humphrey Ward,1905,1905 the marriage of william ashe.txt,f,b,The Marriage of William Ashe,144694.0,n
203,Emerson Hough,1905,1905 heart's desire.txt,m,a,Heart’s Desire,85752.0,n
204,Edith Nesbit,1906,1906 the incomplete amorist.txt,f,b,The Incomplete Amorist,92958.0,n
205,Ralph Connor,1906,1906 the doctor.txt,m,c,The Doctor,95979.0,n
206,Edith Nesbit,1906,1906 the railway children.txt,f,b,The Railway Children,59895.0,n
207,Edith Nesbit,1906,1906 the story of the amulet.txt,f,b,The Story of the Amulet,69125.0,n
208,Gertrude Atherton,1906,1906 rezanov.txt,f,a,Rezanov ,64836.0,n
209,Henry Rider Haggard,1906,1906 benita.txt,m,b,Benita,77937.0,n
210,Lyman Frank Baum,1906,1906 aunt jane's nieces.txt,m,a,Aunt Jane’s Nieces,51344.0,n
211,Lyman Frank Baum,1906,1906 aunt jane's nieces abroad.txt,m,a,Aunt Jane’s Nieces Abroad,57602.0,n
212,Mrs. Humphrey Ward,1906,1906 fenwick's career.txt,f,b,Fenwick’s Career,97019.0,n
213,Frances Burnett,1906,1906 the dawn of a tomorrow.txt,f,a,The Dawn of a Tomorrow,18739.0,n
214,Robert Barr,1906,1906 a rock in the baltic.txt,m,c,A Rock in the Baltic,60729.0,n
215,Arthur Conan Doyle,1906,1906 sir nigel.txt,m,b,Sir Nigel,130620.0,n
216,Frances Burnett,1906,1906 the shuttle.txt,f,a,The Shuttle,214662.0,n
217,Kate Douglas Wiggin,1907,1907 new chronicles of rebecca.txt,f,a,New Chronicles of Rebecca,61624.0,n
218,Andy Adams,1907,1907 reed anthony cowman.txt,m,a,"Reed Anthony, Cowman",92586.0,n
219,Edith Wharton,1907,1907 madame de treymes.txt,f,a,Madame de Treymes,19273.0,n
220,Lyman Frank Baum,1907,1907 ozma of oz.txt,m,a,Ozma of Oz,38646.0,n
221,Edith Nesbit,1907,1907 the enchanted castle.txt,f,b,The Enchanted Castle,68358.0,n
222,Kate Douglas Wiggin,1907,1907 the old peabody pew.txt,f,a,The Old Peobody Pew,12988.0,n
223,Gilbert Parker,1907,1907 the weavers.txt,m,c,The Weavers,160183.0,n
224,Henry Rider Haggard,1907,1907 fair margeret.txt,m,b,Fair Margeret,105168.0,n
225,Emerson Hough,1907,1907 the way of a man.txt,m,a,The Way of a Man,97638.0,n
226,Henry Rider Haggard,1908,1908 the yellow god.txt,m,b,The Yellow God,92507.0,n
227,Henry Rider Haggard,1908,1908 the ghost kings.txt,m,b,The Ghost Kings,122599.0,n
228,Mrs. Humphrey Ward,1908,1908 the testing of diana mallory.txt,f,b,The Testing of Diana Mallory,151078.0,n
229,Lyman Frank Baum,1908,1908 dorothy and the wizard in oz.txt,m,a,Dorothy and the Wizard of Oz,41929.0,n
230,Ralph Connor,1909,1909 the foreigner.txt,m,c,The Foreigner,86416.0,n
231,Gilbert Parker,1909,1909 northern lights.txt,m,c,Northern Lights,112578.0,n
232,Jerome Kapla Jerome,1909,1909 they and i.txt,m,b,They and I,70111.0,n
233,Frances Burnett,1909,1909 the secret garden.txt,f,a,The Secret Garden,81019.0,n
234,Emerson Hough,1909,1909 54-40 or fight!.txt,m,a,54-40 or Fight!,89517.0,n
235,Kate Douglas Wiggin,1909,1909 homespun tales.txt,f,a,Homespun Tales,72208.0,n
236,Henry Rider Haggard,1909,1909 the lady of blossholme.txt,m,b,The Lady of Blossholme,95177.0,n
237,Henry Rider Haggard,1910,1910 queen sheba's ring.txt,m,b,Queen Sheba’s Ring,102011.0,n
238,Emerson Hough,1910,1910 the purchase price.txt,m,a,The Purchase Price,89191.0,n
239,Henry Rider Haggard,1910,1910 morning star.txt,m,b,Morning Star,85399.0,n
240,Robert Barr,1910,1910 the sword maker.txt,m,c,The Sword Maker,112032.0,n
241,Lyman Frank Baum,1910,1910 the emerald city of oz.txt,m,a,The Emerald City of Oz,53615.0,n
242,Edith Wharton,1911,1911 ethan frome.txt,f,a,Ethan Forme,34800.0,n
243,Lyman Frank Baum,1911,1911 aunt jane's nieces and uncle john.txt,m,a,Aunt Jane’s Nieces and Uncle John,43163.0,n
244,Andy Adams,1911,1911 wells brothers.txt,m,a,Wells Brothers,74340.0,n
245,Irving Bacheller,1911,1911 keeping up with lizzie.txt,m,a,Keeping up with Lizzie,21161.0,n
246,Marie Corelli,1911,1911 the life everlasting.txt,f,b,The Life Everlasting,131136.0,n
247,Mrs. Humphrey Ward,1911,1911 the case of richard meynell.txt,f,b,The Case of Richard Meynell,154219.0,n
248,Kate Douglas Wiggin,1911,1911 mother carey's chickens.txt,f,a,Mother Carey’s Chickens,72712.0,n
249,Arthur Conan Doyle,1912,1912 the lost world.txt,m,b,The Lost World,75895.0,n
250,Lyman Frank Baum,1912,1912 aunt jane's nieces on vacation.txt,m,a,Aunt Jane’s Nieces on Vacation,48726.0,n
251,Lyman Frank Baum,1912,1912 sky island.txt,m,a,Sky Island,54728.0,n
252,Edith Wharton,1912,1912 the reef.txt,f,a,The Reef,96913.0,n
253,Ralph Connor,1912,1912 corporal cameron of the north west mounted police.txt,m,c,Corporal Cameron of the North West Mounted Police,124859.0,n
254,Mrs. Humphrey Ward,1913,1913 the coryston family.txt,f,b,The Coryston Family,86478.0,n
255,Ralph Connor,1913,1913 the patrol of the sundance trail.txt,m,c,The Patrol of the Sundance Trail,94139.0,n
256,Edith Wharton,1913,1913 the custom of the country.txt,f,a,The Custom of the Country,140208.0,n
257,Arthur Conan Doyle,1913,1913 the poison belt.txt,m,b,The Poison Belt,29309.0,n
258,Mrs. Humphrey Ward,1913,1913 the mating of lydia.txt,f,b,The Mating of Lydia,132682.0,n
259,Frances Burnett,1913,1913 t tembarom.txt,f,a,T. Tembarom,181625.0,n
260,Hall Caine,1913,1913 the woman thou gavest me.txt,m,b,The Woman thou gavest me,240447.0,n
261,Henry Seton Merriman,1913,1913 roden's corner.txt,m,b,Roden’s Corner,84209.0,n
262,Gilbert Parker,1913,1913 the judgment house.txt,m,c,The Judgment House,149003.0,n
263,Mrs. Humphrey Ward,1914,1914 delia blanchflower.txt,f,b,Delia Blanchflower,109089.0,n
264,Frances Burnett,1914,1914 the lost prince.txt,f,a,The Lost Prince,99915.0,n
265,Marie Corelli,1914,1914 innocent.txt,f,b,Innocent,127162.0,n
266,Kate Douglas Wiggin,1914,1914 a summer in a canyon.txt,f,a,A Summer in a Canyon,54177.0,n
267,Mrs. Humphrey Ward,1915,1915 a great success.txt,f,b,A Great Success,32605.0,n
268,Kate Douglas Wiggin,1915,1915 penelope's postscripts.txt,f,a,Penelope’s Postscripts,30283.0,n
269,Lyman Frank Baum,1915,1915 the scarecrow of oz.txt,m,a,The Scarecrow of Oz,46035.0,n
270,Lyman Frank Baum,1916,1916 mary louise.txt,m,a,Mary Louise,46302.0,n
271,Mrs. Humphrey Ward,1916,1916 lady connie.txt,f,b,Lady Connie,115572.0,n
272,Ralph Connor,1917,1917 the major.txt,m,c,The Major,118678.0,n
273,Edith Wharton,1917,1917 summer.txt,f,a,Summer,57421.0,n
274,Irving Bacheller,1917,1917 the light in the clearing.txt,m,a,The Light in the Clearing,91703.0,n
275,Gertrude Atherton,1918,1918 the white morning.txt,f,a,The White Morning,32855.0,n
276,Gilbert Parker,1918,1918 wild youth.txt,m,c,Wild Youth,46642.0,n
277,Gilbert Parker,1918,1918 the world for sale.txt,m,c,The World for Sale,103899.0,n
278,Emerson Hough,1918,1918 the passing of the frontier.txt,m,a,The Passing of the Frontier,35781.0,n
279,Gertrude Atherton,1919,1919 the avalanche.txt,f,a,The Avalanche,41524.0,n
280,Jerome Kapla Jerome,1919,1919 all roads lead to calvary.txt,m,b,All Roads Lead to Calvary,92235.0,n
281,Edith Wharton,1920,1920 the age of innocence.txt,f,a,The Age of Innocence,102424.0,n
282,Frances Burnett,1920,1920 the white people.txt,f,a,The White People,21477.0,n
283,Marie Corelli,1921,1921 the secret power.txt,f,b,The Secret Power,93982.0,n
284,Gilbert Parker,1921,1921 no defence.txt,m,c,No Defence,84081.0,n
285,Gertrude Atherton,1921,1921 the sisters-in-law.txt,f,a,The Sisters-in-Law,112786.0,n
